OID;UIDNFTN;NAME;NUM_PLACE;BIKE_SLOTS;X;Y;WHERE_LOC;VED_SUBJ;OPER_NAME;OPER_WEB;LAT;LON
1;1;"Пункт проката велосипедов ""Гоголевский бульвар, вл.1с4""";16;16;6445,2243;8723,3175;Гоголевский б-р у  Вл.1с4 (ст.м.Кропоткинская);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.74526599536529;37.60088165092709
2;2;"Пункт проката велосипедов ""Гоголевский бульвар, 17с1""";16;16;6383,9039;8884,1112;Гоголевский б-р (напротив д.17с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.746710995435414;37.59990894247091
3;3;"Пункт проката велосипедов ""Гоголевский бульвар, 29""";16;16;6373,056;9199,2306;Гоголевский б-р (напротив д.29);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.749541445907084;37.599743426353136
4;4;"Пункт проката велосипедов ""Никитский бульвар, 11/12с3""";8;8;6389,5197;9815,0072;Никитский б-р (напротив д.11/12с3);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.755071954091875;37.60001975489651
5;5;"Пункт проката велосипедов ""Никитский бульвар, 23/14/9""";8;8;6291,747;10022,0666;Никитский б-р (напротив д.23/14/9);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.75693295601616;37.59846722444666
6;6;"Пункт проката велосипедов ""Тверской бульвар, 2/1""";16;16;6274,1072;10133,3789;Тверской б-р (напротив д.2/1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.75793295378079;37.59818877549181
7;7;"Пункт проката велосипедов ""Тверской бульвар, 17с1""";16;16;6487,9325;10492,4124;Тверской б-р (напротив д.17с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.761154913386754;37.60160298101981
8;8;"Пункт проката велосипедов ""Тверской бульвар, 28""";16;16;6715,8268;10866,9538;Тверской б-р (напротив д.28);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76451587156122;37.60524225374481
9;9;"Пункт проката велосипедов ""Пушкинская площадь""";8;8;6722,645;10950,467;Пушкинская площадь (у выхода ст.м. Пушкинская);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76526586743016;37.60535289518812
10;10;"Пункт проката велосипедов ""Страстной бульвар, 8а""";8;8;6977,1662;11111,7404;Страстной б-р (напротив д.8а);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.766710831165874;37.60941174005246
11;11;"Пункт проката велосипедов ""Страстной бульвар, 16""";8;8;7217,3128;11266,7706;Страстной б-р (напротив д.16);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.768099797207924;37.61324170319545
12;12;"Пункт проката велосипедов ""Петровский бульвар, 17""";16;16;7452,9545;11242,3308;Петровский б-р (напротив д.17);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76787677118699;37.616995335654025
13;13;"Пункт проката велосипедов ""Цветной бульвар, 34Ас1""";16;16;7725,631;11814,959;Цветной б-р (около д.34Ас1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.773015716066126;37.621355622074724
14;14;"Пункт проката велосипедов ""Цветной бульвар, 20/1""";16;16;7740,0926;11484,0894;Цветной б-р (напротив д.20/1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.77004372812319;37.62157680662959
15;15;"Пункт проката велосипедов ""Трубная площадь""";16;16;7789,3569;11242,9075;Трубная площадь (у выхода ст.м.Трубная);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76787673321422;37.622354949355184
16;16;"Пункт проката велосипедов ""Рождественский бульвар, 12/8с1""";8;8;8106,8983;11082,7046;Рождественский б-р (напротив д.12/8с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.766432703998554;37.62740935801414
17;17;"Пункт проката велосипедов ""Чистопрудный бульвар, 1а""";16;16;8869,2147;10876,9644;Чистопрудный б-р (напротив д.1а);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.764571626109976;37.63954760432758
18;18;"Пункт проката велосипедов ""Чистопрудный бульвар, 8с1""";8;8;8984,7112;10719,432;Чистопрудный б-р (напротив д.8с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76315461950347;37.64138242964658
19;19;"Пункт проката велосипедов ""Чистопрудный бульвар, 12с1""";8;8;9236,6089;10382,8206;Чистопрудный б-р (напротив д.12с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76012660541823;37.64538395235206
20;20;"Пункт проката велосипедов ""Покровский бульвар, 8с1а""";8;8;9338,3277;10070,7329;Покровский б-р (напротив д.8с1а);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.757321607831116;37.64699368037296
21;21;"Пункт проката велосипедов ""Покровский бульвар, 12с1""";8;8;9417,3298;9860,5841;Покровский б-р (напротив д.12с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.755432607554035;37.64824484944581
22;22;"Пункт проката велосипедов ""Покровский бульвар, пересечение с Подколокольным переулком""";8;8;9358,4675;9606,8333;Покровский б-р (пересечение с Подколокольным пер.);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.75315462575115;37.64729876009206
23;23;"Пункт проката велосипедов ""Столешников переулок, 6с2""";16;16;7163,0327;10598,5926;Столешников пер. (напротив д.6с2);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.762099230844896;37.61235964257757
24;24;"Пункт проката велосипедов ""Столешников переулок, 15""";16;16;7465,9907;10750,6874;Столешников пер. (у д.15);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.763460791554046;37.61718978448823
25;25;"Пункт проката велосипедов ""Камергерский переулок, 4""";16;16;7168,3511;10298,6145;Камергерский пер. (на площади у д.4);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.75940484461412;37.61243661110414
26;26;"Пункт проката велосипедов ""Кузнецкий мост, 13/9с1";16;16;7842,6938;10596,6885;ул.Кузнецкий мост (у д.13/9с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76207175532975;37.62318641788886
27;27;"Пункт проката велосипедов ""Тургеневская площадь""";8;8;8717,465;10966,2899;Тургеневская площадь (между выходами ст.м. Тургеневская);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76537663893415;37.63713293438513
28;28;"Пункт проката велосипедов ""Площадь Сретенские ворота, 1""";16;16;8385,8355;11089,4577;площадь Сретенские ворота (напротив д.1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76648867186675;37.6318534528295
29;29;"Пункт проката велосипедов ""Тверская, 8""";16;16;7035,5108;10555,1462;ул. Тверская, 8;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.76171084910472;37.61032714850246
30;30;"Пункт проката велосипедов ""Большая Никитская, 13""";8;8;6712,1152;9991,7271;ул. Б.Никитская (напротив д.13);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru;55.75665490965979;37.605161969054045
